Product_ID,Product_Name,Category,Sub_Category,Price,Customer_Age,Customer_Gender,Purchase_History,Review_Rating,Review_Sentiment,Product_new
P0095,Bookshelf,Furniture,Cabinet,495.28,64,Female,14,5,Positive,BookshelfHola
P0096,Foundation,Beauty,Makeup,71.16,60,Male,6,4,Positive,FoundationHola
P0097,Air Conditioner,Home Appliances,Refrigerator,60.54,55,Male,15,5,Neutral,Air ConditionerHola
P0098,Shampoo,Beauty,Skin Care,15.71,29,Female,42,3,Negative,ShampooHola
P0099,Nail Polish,Beauty,Hair Care,196.16,41,Male,17,4,Neutral,Nail PolishHola
P0100,Dress,Clothing,Jackets,150.08,45,Male,20,3,Neutral,DressHola
P0101,Yoga Mat,Sports,Basketball,77.04,37,Male,22,4,Positive,Yoga MatHola
P0102,Shampoo,Beauty,Skin Care,189.04,38,Female,17,4,Neutral,ShampooHola
P0103,Shoes,Clothing,Pants,28.77,37,Male,28,1,Negative,ShoesHola
P0104,Dress,Clothing,Shoes,96.79,27,Male,43,3,Positive,DressHola
P0105,Dishwasher,Home Appliances,Microwave,735.67,53,Male,6,5,Very Positive,DishwasherHola
P0106,Smartwatch,Electronics,Smartwatches,947.76,27,Male,45,5,Very Positive,SmartwatchHola
P0107,Bluetooth Speaker,Electronics,Headphones,922.26,45,Male,13,5,Very Positive,Bluetooth SpeakerHola
P0108,Lipstick,Beauty,Skin Care,66.46,43,Male,21,4,Neutral,LipstickHola
P0109,Soccer Ball,Sports,Football,729.11,25,Male,21,5,Very Positive,Soccer BallHola
P0110,Cabinet,Furniture,Sofa,637.97,58,Male,1,5,Positive,CabinetHola
P0111,Skincare Cream,Beauty,Fragrance,114.34,59,Female,9,4,Neutral,Skincare CreamHola
P0112,Basketball,Sports,Yoga Mat,418.13,63,Female,8,5,Very Positive,BasketballHola
P0113,Football,Sports,Tennis Racket,477.33,35,Female,21,5,Very Positive,FootballHola
P0114,Smartwatch,Electronics,Speakers,584.05,22,Female,31,4,Positive,SmartwatchHola
P0115,Refrigerator,Home Appliances,Air Conditioner,329.2,34,Male,10,5,Positive,RefrigeratorHola
P0116,Bluetooth Speaker,Electronics,Tablets,312.9,52,Female,3,5,Very Positive,Bluetooth SpeakerHola
P0117,Refrigerator,Home Appliances,Vacuum Cleaner,903.34,26,Female,50,4,Very Positive,RefrigeratorHola
P0118,Shampoo,Beauty,Skin Care,32.43,64,Female,17,1,Neutral,ShampooHola
P0119,Microwave,Home Appliances,Microwave,706.51,58,Female,2,5,Very Positive,MicrowaveHola
P0120,Basketball,Sports,Tennis Racket,83.1,51,Male,7,4,Neutral,BasketballHola
P0121,Dishwasher,Home Appliances,Air Conditioner,118.21,42,Male,24,5,Neutral,DishwasherHola
P0122,Air Conditioner,Home Appliances,Refrigerator,494.84,55,Female,7,4,Positive,Air ConditionerHola
P0123,Football,Sports,Bicycle,344.14,62,Male,4,4,Positive,FootballHola
P0124,Basketball,Sports,Football,230.54,28,Male,36,4,Positive,BasketballHola
P0125,Tennis Racket,Sports,Tennis Racket,186.34,46,Female,17,3,Positive,Tennis RacketHola
P0126,Dishwasher,Home Appliances,Air Conditioner,505.69,42,Male,16,5,Very Positive,DishwasherHola
P0127,Couch,Furniture,Chair,1066.3,40,Male,10,5,Positive,CouchHola
P0128,T-Shirt,Clothing,Sweaters,63.54,22,Female,26,4,Neutral,T-ShirtHola
P0129,Sweater,Clothing,Jackets,82.03,37,Female,28,3,Neutral,SweaterHola
P0130,Washing Machine,Home Appliances,Refrigerator,429.36,64,Female,9,5,Very Positive,Washing MachineHola
P0131,Tablet,Electronics,Smartwatches,276.02,42,Male,21,5,Positive,TabletHola
P0132,Football,Sports,Basketball,16.12,18,Female,8,3,Negative,FootballHola
P0133,Soccer Ball,Sports,Bicycle,456.4,44,Male,13,4,Positive,Soccer BallHola
P0134,Shampoo,Beauty,Nail Polish,28.86,38,Male,16,1,Negative,ShampooHola
P0135,Sweater,Clothing,Jackets,32.42,43,Female,18,3,Negative,SweaterHola
P0136,Smartwatch,Electronics,Speakers,635.28,54,Male,4,5,Very Positive,SmartwatchHola
P0137,Tennis Racket,Sports,Football,163.21,57,Male,20,4,Neutral,Tennis RacketHola
P0138,Chair,Furniture,Table,608.99,49,Male,29,4,Very Positive,ChairHola
P0139,Shampoo,Beauty,Makeup,12.36,64,Male,11,2,Negative,ShampooHola
P0140,Air Conditioner,Home Appliances,Washing Machine,868.48,19,Male,10,5,Positive,Air ConditionerHola
P0141,Basketball,Sports,Tennis Racket,416.55,37,Female,28,4,Positive,BasketballHola
P0142,Laptop,Electronics,Laptops,840.91,40,Female,17,4,Positive,LaptopHola
P0143,Basketball,Sports,Football,778.11,40,Male,11,4,Positive,BasketballHola
P0144,Football,Sports,Tennis Racket,734.23,57,Male,13,5,Positive,FootballHola
P0145,Cabinet,Furniture,Table,1305.95,23,Male,11,5,Positive,CabinetHola
P0146,Shoes,Clothing,Sweaters,107.17,60,Male,12,4,Neutral,ShoesHola
P0147,Dining Table,Furniture,Chair,1086.84,32,Female,17,4,Very Positive,Dining TableHola
P0148,Smartwatch,Electronics,Laptops,1387.93,45,Male,11,5,Positive,SmartwatchHola
P0149,Tablet,Electronics,Speakers,955.13,36,Female,17,5,Positive,TabletHola
P0150,T-Shirt,Clothing,Dresses,150.86,57,Female,15,5,Neutral,T-ShirtHola
P0151,Pants,Clothing,Dresses,19.75,60,Female,11,2,Neutral,PantsHola
P0152,Laptop,Electronics,Speakers,1335.05,41,Female,15,5,Positive,LaptopHola
P0153,Football,Sports,Yoga Mat,190.01,36,Female,20,5,Positive,FootballHola
P0154,Chair,Furniture,Cabinet,934.59,62,Female,10,5,Positive,ChairHola
P0155,Dress,Clothing,Pants,185.96,53,Female,16,4,Positive,DressHola
P0156,Smartwatch,Electronics,Tablets,1042.99,59,Male,12,4,Very Positive,SmartwatchHola
P0157,Perfume,Beauty,Fragrance,124.19,36,Female,17,3,Positive,PerfumeHola
P0158,Foundation,Beauty,Fragrance,199.46,63,Female,3,4,Positive,FoundationHola
P0159,Dress,Clothing,Sweaters,133.03,64,Male,18,4,Neutral,DressHola
P0160,Tablet,Electronics,Mobile Phones,1116.04,57,Male,5,5,Very Positive,TabletHola
P0161,Microwave,Home Appliances,Air Conditioner,192.92,24,Male,43,5,Positive,MicrowaveHola
P0162,Basketball,Sports,Yoga Mat,41.58,22,Female,8,2,Neutral,BasketballHola
P0163,Nail Polish,Beauty,Fragrance,57.11,26,Male,17,3,Positive,Nail PolishHola
P0164,Pants,Clothing,Jackets,96.89,59,Female,6,4,Positive,PantsHola
P0165,Wireless Mouse,Electronics,Headphones,79.13,61,Female,17,5,Neutral,Wireless MouseHola
P0166,Dishwasher,Home Appliances,Vacuum Cleaner,127.78,44,Male,11,4,Positive,DishwasherHola
P0167,Bluetooth Speaker,Electronics,Smartwatches,238.45,61,Female,16,5,Very Positive,Bluetooth SpeakerHola
P0168,T-Shirt,Clothing,Dresses,178.77,21,Female,34,5,Neutral,T-ShirtHola
P0169,Washing Machine,Home Appliances,Washing Machine,855.56,21,Female,40,4,Positive,Washing MachineHola
P0170,Skincare Cream,Beauty,Skin Care,76.22,63,Male,20,3,Neutral,Skincare CreamHola
P0171,Microwave,Home Appliances,Air Conditioner,563.29,34,Female,13,4,Very Positive,MicrowaveHola
P0172,Bookshelf,Furniture,Sofa,994.93,33,Female,27,4,Positive,BookshelfHola
P0173,Soccer Ball,Sports,Basketball,612.15,20,Female,43,4,Positive,Soccer BallHola
P0174,Soccer Ball,Sports,Tennis Racket,661.64,65,Female,11,5,Very Positive,Soccer BallHola
P0175,Chair,Furniture,Sofa,929.38,56,Male,2,4,Very Positive,ChairHola
P0176,Smartphone,Electronics,Mobile Phones,443.78,60,Female,2,4,Very Positive,SmartphoneHola
P0177,Foundation,Beauty,Skin Care,133.64,40,Male,18,4,Neutral,FoundationHola
P0178,Pants,Clothing,Jackets,39.4,61,Female,20,3,Neutral,PantsHola
P0179,Pants,Clothing,Shoes,190.36,31,Male,26,3,Neutral,PantsHola
P0180,Pants,Clothing,T-Shirts,15.41,42,Male,17,1,Neutral,PantsHola
P0181,Bluetooth Speaker,Electronics,Tablets,508.89,35,Female,21,5,Positive,Bluetooth SpeakerHola
P0182,Wireless Mouse,Electronics,Laptops,410.43,32,Female,19,4,Positive,Wireless MouseHola
P0183,Washing Machine,Home Appliances,Air Conditioner,447.48,47,Female,11,5,Positive,Washing MachineHola
P0184,Lipstick,Beauty,Hair Care,5.35,39,Male,20,1,Negative,LipstickHola
P0185,Air Conditioner,Home Appliances,Air Conditioner,154.37,52,Male,13,3,Positive,Air ConditionerHola
P0186,Shampoo,Beauty,Hair Care,31.48,21,Male,43,1,Negative,ShampooHola
P0187,Dining Table,Furniture,Sofa,174.51,36,Female,13,3,Positive,Dining TableHola
P0188,Bookshelf,Furniture,Bookshelf,385.43,47,Male,11,5,Very Positive,BookshelfHola
P0189,Vacuum Cleaner,Home Appliances,Air Conditioner,641.64,54,Female,16,4,Very Positive,Vacuum CleanerHola
P0190,Jacket,Clothing,Dresses,141.92,22,Female,31,3,Positive,JacketHola
P0191,Chair,Furniture,Sofa,874.36,32,Male,28,4,Positive,ChairHola
P0192,T-Shirt,Clothing,Shoes,175.58,51,Female,12,5,Neutral,T-ShirtHola
P0193,Dress,Clothing,Sweaters,142.25,61,Male,13,4,Positive,DressHola
P0194,Cabinet,Furniture,Bookshelf,869.57,49,Male,15,4,Very Positive,CabinetHola
P0195,Foundation,Beauty,Hair Care,121.27,20,Male,29,3,Neutral,FoundationHola
P0196,Dining Table,Furniture,Cabinet,346.74,57,Female,11,4,Very Positive,Dining TableHola
P0197,Tennis Racket,Sports,Tennis Racket,119.09,53,Female,0,4,Neutral,Tennis RacketHola
P0198,Chair,Furniture,Chair,1241.02,18,Female,10,5,Positive,ChairHola
P0199,Football,Sports,Tennis Racket,760.82,24,Male,19,4,Very Positive,FootballHola
P0200,Shoes,Clothing,Dresses,88.32,65,Female,18,5,Neutral,ShoesHola
P0201,Bookshelf,Furniture,Table,766.49,43,Female,21,5,Positive,BookshelfHola
P0202,Refrigerator,Home Appliances,Microwave,219.83,28,Female,19,5,Positive,RefrigeratorHola
P0203,Lipstick,Beauty,Hair Care,15.5,33,Female,30,2,Neutral,LipstickHola
P0204,Couch,Furniture,Chair,340.54,33,Male,29,4,Very Positive,CouchHola
P0205,Refrigerator,Home Appliances,Air Conditioner,692.35,38,Male,14,5,Very Positive,RefrigeratorHola
P0206,Laptop,Electronics,Mobile Phones,1231.86,32,Female,12,5,Very Positive,LaptopHola
P0207,Wireless Mouse,Electronics,Tablets,885.59,33,Female,24,4,Very Positive,Wireless MouseHola
P0208,Sweater,Clothing,T-Shirts,56.77,32,Female,21,3,Positive,SweaterHola
P0209,Bookshelf,Furniture,Sofa,607.99,55,Female,16,5,Very Positive,BookshelfHola
P0210,Bicycle,Sports,Football,677.52,62,Male,12,5,Very Positive,BicycleHola
P0211,Perfume,Beauty,Fragrance,90.14,43,Male,28,4,Positive,PerfumeHola
P0212,Sofa,Furniture,Sofa,972.31,65,Male,11,4,Very Positive,SofaHola
P0213,Microwave,Home Appliances,Refrigerator,154.47,29,Male,12,4,Positive,MicrowaveHola
P0214,Sofa,Furniture,Bookshelf,1431.14,30,Male,25,5,Positive,SofaHola
P0215,Tablet,Electronics,Headphones,385.92,46,Male,29,4,Positive,TabletHola
P0216,Jeans,Clothing,Jackets,115.62,28,Male,38,3,Neutral,JeansHola
P0217,Jeans,Clothing,Dresses,53.23,37,Female,10,4,Neutral,JeansHola
P0218,Laptop,Electronics,Speakers,905.02,54,Male,12,5,Positive,LaptopHola
P0219,Bluetooth Speaker,Electronics,Speakers,615.26,36,Female,20,4,Positive,Bluetooth SpeakerHola
P0220,Tennis Racket,Sports,Yoga Mat,73.12,49,Male,24,3,Neutral,Tennis RacketHola
P0221,Wireless Mouse,Electronics,Mobile Phones,1475.67,35,Female,20,4,Positive,Wireless MouseHola
P0222,Dining Table,Furniture,Cabinet,883.72,25,Male,45,5,Very Positive,Dining TableHola
P0223,Sweater,Clothing,Jackets,63.63,42,Male,23,4,Positive,SweaterHola
P0224,Headphones,Electronics,Mobile Phones,421.76,25,Female,25,5,Very Positive,HeadphonesHola
P0225,Sweater,Clothing,Sweaters,86.7,27,Male,26,5,Neutral,SweaterHola
P0226,Tablet,Electronics,Headphones,403.85,24,Female,37,4,Positive,TabletHola
P0227,Sweater,Clothing,T-Shirts,164.8,46,Female,30,3,Neutral,SweaterHola
P0228,Couch,Furniture,Sofa,150.13,24,Male,34,3,Positive,CouchHola
P0229,Air Conditioner,Home Appliances,Washing Machine,743.53,57,Female,6,4,Positive,Air ConditionerHola
P0230,Headphones,Electronics,Smartwatches,1484.25,50,Male,11,5,Very Positive,HeadphonesHola
P0231,Microwave,Home Appliances,Vacuum Cleaner,642.54,43,Male,28,4,Positive,MicrowaveHola
P0232,Dishwasher,Home Appliances,Refrigerator,392.44,48,Male,17,4,Positive,DishwasherHola
P0233,Cabinet,Furniture,Bookshelf,1005.99,55,Male,15,5,Positive,CabinetHola
P0234,Chair,Furniture,Table,802.55,43,Female,17,5,Very Positive,ChairHola
P0235,Skincare Cream,Beauty,Nail Polish,63.87,30,Male,12,3,Positive,Skincare CreamHola
P0236,Sweater,Clothing,Pants,21.04,24,Female,45,3,Negative,SweaterHola
P0237,Bookshelf,Furniture,Sofa,723.99,34,Female,23,5,Very Positive,BookshelfHola
P0238,Basketball,Sports,Football,36.3,19,Male,35,2,Neutral,BasketballHola
P0239,Shampoo,Beauty,Nail Polish,82.03,20,Male,11,4,Neutral,ShampooHola
P0240,Tablet,Electronics,Headphones,1100.91,25,Male,45,5,Very Positive,TabletHola
P0241,Dishwasher,Home Appliances,Refrigerator,564.01,57,Male,6,4,Very Positive,DishwasherHola
P0242,Air Conditioner,Home Appliances,Washing Machine,626.19,43,Female,22,5,Very Positive,Air ConditionerHola
P0243,Foundation,Beauty,Hair Care,198.61,53,Female,14,3,Neutral,FoundationHola
P0244,Sofa,Furniture,Cabinet,732.37,54,Male,2,4,Very Positive,SofaHola
P0245,Smartphone,Electronics,Laptops,724.22,64,Female,18,4,Very Positive,SmartphoneHola
P0246,Washing Machine,Home Appliances,Washing Machine,352.92,63,Female,14,4,Very Positive,Washing MachineHola
P0247,Cabinet,Furniture,Chair,1445.67,26,Male,35,5,Positive,CabinetHola
P0248,Smartwatch,Electronics,Speakers,960.75,50,Female,19,4,Very Positive,SmartwatchHola
P0249,Shampoo,Beauty,Makeup,174.75,63,Male,1,5,Neutral,ShampooHola
P0250,Cabinet,Furniture,Sofa,936.65,19,Male,30,4,Positive,CabinetHola
P0251,Yoga Mat,Sports,Yoga Mat,441.83,62,Female,18,5,Positive,Yoga MatHola
P0252,Air Conditioner,Home Appliances,Refrigerator,652.47,39,Male,12,5,Very Positive,Air ConditionerHola
P0253,Chair,Furniture,Bookshelf,1407.61,44,Male,10,5,Positive,ChairHola
P0254,Air Conditioner,Home Appliances,Washing Machine,82.49,35,Male,16,3,Neutral,Air ConditionerHola
P0255,Tennis Racket,Sports,Yoga Mat,715.59,18,Female,10,5,Very Positive,Tennis RacketHola
P0256,Headphones,Electronics,Smartwatches,757.4,64,Male,15,5,Very Positive,HeadphonesHola
P0257,Foundation,Beauty,Hair Care,125.53,27,Male,32,5,Neutral,FoundationHola
P0258,T-Shirt,Clothing,Shoes,125.2,42,Female,11,3,Neutral,T-ShirtHola
P0259,Laptop,Electronics,Smartwatches,1090.91,40,Female,17,4,Very Positive,LaptopHola
P0260,Air Conditioner,Home Appliances,Air Conditioner,317.37,50,Male,13,4,Very Positive,Air ConditionerHola
P0261,Bicycle,Sports,Tennis Racket,74.25,28,Female,23,4,Positive,BicycleHola
P0262,Perfume,Beauty,Makeup,172.82,62,Male,19,3,Neutral,PerfumeHola
P0263,Lipstick,Beauty,Skin Care,102.15,36,Female,17,4,Neutral,LipstickHola
P0264,Wireless Mouse,Electronics,Tablets,1149.11,45,Male,17,4,Very Positive,Wireless MouseHola
P0265,Yoga Mat,Sports,Bicycle,464.98,39,Female,25,4,Positive,Yoga MatHola
P0266,Vacuum Cleaner,Home Appliances,Microwave,89.91,31,Male,16,3,Neutral,Vacuum CleanerHola
P0267,Dishwasher,Home Appliances,Vacuum Cleaner,411.86,57,Male,20,5,Very Positive,DishwasherHola
P0268,Cabinet,Furniture,Table,867.49,27,Male,43,4,Positive,CabinetHola
P0269,Couch,Furniture,Table,721.01,63,Male,5,5,Positive,CouchHola
P0270,Smartwatch,Electronics,Tablets,1423.65,34,Female,23,5,Very Positive,SmartwatchHola
P0271,T-Shirt,Clothing,T-Shirts,168.7,46,Male,30,3,Positive,T-ShirtHola
P0272,Bicycle,Sports,Basketball,760.7,46,Female,30,4,Very Positive,BicycleHola
P0273,Sweater,Clothing,Sweaters,178.12,53,Female,12,4,Neutral,SweaterHola
P0274,Washing Machine,Home Appliances,Vacuum Cleaner,312.27,60,Female,12,4,Positive,Washing MachineHola
P0275,Soccer Ball,Sports,Football,324.48,21,Male,14,4,Positive,Soccer BallHola
P0276,Laptop,Electronics,Speakers,1052.48,51,Female,1,5,Positive,LaptopHola
P0277,Football,Sports,Yoga Mat,693.71,60,Male,5,4,Very Positive,FootballHola
P0278,Football,Sports,Bicycle,88.52,62,Female,14,3,Positive,FootballHola
P0279,Yoga Mat,Sports,Tennis Racket,460.0,39,Female,13,5,Positive,Yoga MatHola
P0280,Foundation,Beauty,Nail Polish,190.86,20,Female,43,5,Positive,FoundationHola
P0281,Bicycle,Sports,Yoga Mat,728.13,57,Female,16,4,Positive,BicycleHola
P0282,Nail Polish,Beauty,Makeup,171.47,63,Female,20,4,Positive,Nail PolishHola
P0283,Cabinet,Furniture,Bookshelf,724.52,27,Male,26,5,Very Positive,CabinetHola
P0284,Soccer Ball,Sports,Yoga Mat,501.11,18,Male,42,5,Positive,Soccer BallHola
P0285,Perfume,Beauty,Skin Care,135.44,61,Male,13,4,Neutral,PerfumeHola
P0286,Football,Sports,Basketball,588.57,53,Male,15,5,Positive,FootballHola
P0287,Tennis Racket,Sports,Tennis Racket,608.57,34,Female,29,4,Very Positive,Tennis RacketHola
P0288,Dress,Clothing,T-Shirts,98.29,37,Male,15,5,Positive,DressHola
P0289,Shampoo,Beauty,Nail Polish,40.03,48,Male,23,1,Negative,ShampooHola
P0290,Jacket,Clothing,Pants,79.52,48,Female,28,4,Neutral,JacketHola
P0291,Bicycle,Sports,Basketball,336.84,30,Female,27,4,Very Positive,BicycleHola
P0292,Bookshelf,Furniture,Cabinet,1436.2,27,Male,38,4,Very Positive,BookshelfHola
